Uid,Contact uid,Subject,Duration,Direction
1,1,Cold Calling,00:04:15,Incoming
2,1,Business call,00:05:15,Outgoing
3,2,Marketing,00:06:30,Outgoing
4,3,Open call,00:04:45,Outgoing
5,4,Special call,00:10:00,Incoming
6,5,Cold Calling,00:03:15,Outgoing
7,6,Reminder of our scheduled meeting,00:06:45,Outgoing
8,7,Happy Birthday,00:04:16,Outgoing
9,8,The lease of office space,00:05:16,Outgoing
10,10,Cold Calling,00:06:31,Incoming
11,11,Business call,00:04:46,Outgoing
12,12,Marketing,00:10:01,Outgoing
13,13,Open call,00:03:16,Outgoing
14,14,Special call,00:06:46,Incoming
15,15,Cold Calling,00:04:17,Outgoing
16,16,Reminder of our scheduled meeting,00:05:17,Outgoing
17,17,Happy Birthday,00:06:32,Outgoing
18,18,The lease of office space,00:04:47,Outgoing
19,19,Cold Calling,00:10:02,Incoming
20,20,Business call,00:03:17,Outgoing
21,21,Marketing,00:06:47,Outgoing
22,22,Open call,00:04:18,Outgoing
23,23,Special call,00:05:18,Incoming
24,24,Cold Calling,00:06:33,Outgoing
25,25,Reminder of our scheduled meeting,00:04:48,Outgoing
26,26,Happy Birthday,00:10:03,Outgoing
27,27,The lease of office space,00:03:18,Outgoing
28,28,Cold Calling,00:06:48,Incoming
29,29,Business call,00:04:19,Outgoing
30,30,Marketing,00:05:19,Outgoing
31,31,Open call,00:06:34,Outgoing
32,32,Special call,00:04:49,Incoming
33,33,Cold Calling,00:10:04,Outgoing
34,34,Reminder of our scheduled meeting,00:03:19,Outgoing
35,36,Happy Birthday,00:06:49,Outgoing
36,38,The lease of office space,00:04:20,Outgoing
37,40,Cold Calling,00:05:20,Incoming
38,42,Business call,00:06:35,Outgoing
39,44,Marketing,00:04:50,Outgoing
40,46,Open call,00:10:05,Outgoing
41,48,Special call,00:03:20,Incoming
42,50,Cold Calling,00:06:50,Outgoing
43,52,Reminder of our scheduled meeting,00:04:21,Outgoing
44,54,Happy Birthday,00:05:21,Outgoing
45,55,The lease of office space,00:06:36,Outgoing
46,57,Cold Calling,00:04:51,Incoming
47,58,Business call,00:10:06,Outgoing
48,62,Marketing,00:03:21,Outgoing
49,63,Open call,00:06:51,Outgoing
50,64,Special call,00:04:22,Incoming
51,18,Cold Calling,00:05:22,Outgoing
52,9,Reminder of our scheduled meeting,00:06:37,Outgoing
